Phase Field,Target
Ga Sm,1
Ba Ge Mg Sr,0
Ge In La Ni,0
Al Ge Ti,0
Ag Ge Sc,0
Ge Pd Sc,1
Ge Pt Sc,0
Ge Rh Sc,0
Au Er Sn,0
Mg Sb Sm,0
Bi Mg Yb,0
Bi Eu Mg,0
Cd Eu Pt,0
Fe Ge In Pr,0
Ga Rh Sr,0
Cu In Sb,1
Ga Ir Ta,0
Ga Pd Sc,0
Ga Ir Nb,0
Dy Er Mn,1
Dy Eu Sb,0
Dy Fe,1
Dy Fe Re,1
Dy Fe Ga,1
Dy Fe Ge,1
Dy Fe Mn,1
Dy Fe Mo,0
Dy Fe Ni,1
Dy Fe Th,1
Dy Fe V,0
Dy Ga Ir,0
Dy Ga Pt,0
Dy Ga Rh,0
Dy Ga Ru,0
Dy Ga Ti,0
Dy Ga Zn,0
Dy Gd Ni,0
Dy Ge Ir,0
Dy Ge Os,0
Dy Hg,1
Dy Ho,0
Dy In,1
Dy In Pd,0
Dy In Pt,1
Dy In Zn,0
Dy Ir,1
Dy La,0
Dy Li Sn,0
Al Co Cr Fe,0
Ga V Zr,1
Ga Mn Pd,0
Co Fe Rh,0
Fe Pt Rh,0
Fe Mn Rh,0
Al Ir Ti,0
Ga Ir Ti,0
In Ir Ti,0
In Lu Pt,0
Bi Mn,0
Ge Ir Ta,0
Th Zn,1
Co Ga Nd,1
Ga Ni Pr,1
Ga K,0
Co Ga Yb,0
Mn Rh Sb,0
Mg Sn Yb,1
Rh Sn U,0
Ru Sn Y,0
Sn Sr Zn,0
Sn Tb,1
Li Pd Tl,0
Li Pr Sn,0
Li Nd Sn,0
Li Sb Zr,0
Au Nb,0
Bi Nd Ni,0
Ag In Yb,0
Ag Ca In,0
Al Co La Mn Ni,1
Al Eu Ta,0
Cu Sn Ti,0
Ce Co,1
Cu Nd Ni,1
Cu Dy Sb,0
Cu Eu Ge,0
Ba Bi In,0
Mn Sn Zr,1
Hf Mn Sn,1
Al Pd Tb,0
Au In Tb,0
Au Dy In,0
Au Ho In,0
Al Cr Th,0
Bi Pd,0
Ag Ca,1
Sr Zn,1
Ag Sr Zn,0
Al Fe Th,1
Al Fe Np,0
Ca Ga,0
Ir V,1
Ce Ga,1
Au Pr Sn,0
Au Dy Sn,0
Au Ho Sn,0
Co Ge Mn Pr,0
Eu Ru Sb,0
Eu Os Sb,0
Mn Nd Sn,1
Fe Mn Nd Sn,0
Ag Dy In,1
Al Ce Ge,1
Gd Ge,0
Ga Li Rh,0
Bi Ca In,0
Au Ba Tl,0
Au Ba In,0
Ba Hg In,0
Ag In Sr,0
Ag In Li,0
Ga La Pd,1
Lu Ni,1
Ce Cr,0
Gd Mg Ni,1
Ce Ru Sn,0
Ag Sn Tm,1
Ca Ge Mg,0
Ag Sn,0
Ga Ge Ni Sm,0
Ga Ge Ho Ni,0
Ga Gd Ge Ni,0
Dy Ga Ge Ni,0
Eu In Sb,0
Ba Eu Mn Sb,0
Pd Sb Yb,0
Ga Ru Sm,0
Bi Ca K,0
Cu Eu Sn,0
Al Li Sb Sr,0
Mg Sb Yb,0
Mg Yb,1
Ge Ir Lu,0
Eu Mg Pd,0
Fe Yb,1
Fe Ge In Nd,0
Fe Ge In Sm,0
Fe Gd Ge In,0
Ce Co Ge In,0
Co Ge In Pr,0
Co Ge In Nd,0
Co Ge In Sm,0
Co Gd Ge In,0
Ce Ge In Ru,0
Ge In Pr Ru,0
Ge In Nd Ru,0
Ge In Ru Sm,0
Gd Ge In Ru,0
Ge In Ru Tb,0
Dy Ge In Ru,0
Ge Ho In Ru,0
Er Ge In Ru,0
Ge In Rh Sm,0
Ge In Rh Tb,0
Mg Ru Sc,0
Er Tc,1
Er Th,0
Er Tl,1
Er Tl Zn,0
Er Zn,1
Er Zr,0
Eu Fe,0
Eu Ga,0
Eu Ga Ni,0
Eu Gd Ge,0
Eu Gd Sb,0
Eu Ge Os,0
Eu Ge Pd,0
Eu Ge Pr,0
Eu Ge Ru,0
Eu In,0
Eu In Ni,1
Eu Mg,1
Eu Mn,0
Eu Ni,1
Eu Ni Sb,0
Eu Pb,1
Eu Pb Zn,0
Eu Pd Sb,0
Eu Pt,1
Eu Re,1
Eu Rh,1
Eu Rh Sn,0
Fe Mn Ni Zr,1
Co Fe Sb Ti,0
Co Sb Sn Ti,0
Ga Ni,1
Ag Ni,0
Al Fe Rh,0
Co Mg Nd,1
Au Pb Y,0
Al Sc,1
Al Sc Zr,1
Ga Li Sn,0
Al Co W,1
Al Co Pt,1
Al Co Re,1
Al Co Ir,1
Al Co Rh,1
Dy Mg Os,0
Mg Os Tm,0
Ir Mg Y,0
Ni Sn Tm,0
Al Ce Rh,0
Al Pr Rh,0
Al Cu Er Ni,0
Ge Ru Zr,0
La Zn,1
Pr Zn,1
Mg Th,1
Pr Ru,1
Pr Pt,1
Hf Re,1
Hf Os,1
Ru Y,1
Re Y,1
Os Y,1
Os Pr,1
Nd Os,1
Os Sm,1
Gd Ru,1
Lu Ru,1
Lu Os,1
Al Zr,1
Ni Pu,1
Pd Th,1
Ga Th,0
Ag Dy,0
Be Re,1
Rh Th,1
Ga Sc,1
Ga Y,1
Os W,0
Li Rh,0
Au Mn,0
Al Y,1
Al Tb,1
Ga Sn V,0
Ag Zn,0
Au Cu Zn,0
Au Be,1
Be Cr,1
Be V,1
Be Nb,1
Sb Yb,0
Be Co,1
Mg Tl,0
Cd Pt Zn,0
Ag Mg Sn,0
Al Li Mg Zn,0
U Zr,0
Mo U,0
Nb U Zr,0
Ru Th,1
Os Th,1
Ir Th,1
Gd Pt,1
Fe Y,1
Ir Sn,1
Ca Cd Mg,1
Al Cu Zn,0
Hg Pt,0
Be Hf,1
Al Zn,0
Nb Sn,0
Hf Mo Sb,0
Ge In Sm,0
Gd Ge In,0
Ge In Tb,0
Dy Ge In,0
Ge Ho In,0
Gd Ni Sb,0
Ca Eu Mn Sb,0
Eu Mn Sb Sr,0
Eu Mn Sb Yb,0
Ge Sb Zr,0
Ge Hf Sb,0
Al Gd Ta,0
Fe Sb Sm,0
Ba Eu Ge,0
Eu Mg Sb,0
Ir Mg Sn,0
In La Pd,0
In Pt Yb,0
Ce Ga Mg,0
In Pr Pt,1
Ag In K,0
Ba Ga Li Sb,0
Al Ba Ca Sb,0
Ba Ca Ga Sb,0
Ce Ru Zn,0
Eu Pd Sn,1
Gd Ni Sn,1
Er Ge Zn,0
Mo Ni Sb,0
Al Ce Ge Ir,0
Fe Mn Sm,0
Fe Mn Sn,0
Fe Mn Tb,1
Fe Mn Ti,1
Fe Mn Ti Zr,1
Fe Mn Tm,1
Fe Mn U,1
Fe Mn Zr,1
Fe Mo,1
Fe Mo Nd,0
Fe Mo Sm,0
Fe Mo Tb,0
Fe Mo Tm,0
Fe Mo U,0
Fe Mo Y,1
Fe Mo Zr,1
Fe Nd Ni,1
Fe Nd Re,0
Fe Nd Ti,0
Fe Nd V,0
Fe Nd W,0
Fe Ni Pr,1
Bi Ni Y,0
Ni Pb Zr,0
Bi Co Zr,0
Co Cr Fe Mn,0
Hf Nb Ti V Zr,0
Nb Ti V Zr,0
Mo Nb Ti V,0
Nb V,0
Ta V,1
Mo V,0
V W,0
Nb Ta,0
Mo Nb,0
Nb W,0
Mo Ta,0
Mo W,0
Nb Ta V,0
Mo Nb V,0
Nb V W,0
Mo Ta V,0
Ta V W,0
Mo V W,0
Mo Nb Ta,0
Nb Ta W,0
Mo Nb W,0
Ag Ge Sr,0
Ag Ba Ge,0
Co Ge Li,1
Li Ni Sn,0
Cd Ge Sr,0
Ag Ba Sn,0
Au Ca Ge,0
Al Pb Sr,0
Be Ca Ge,0
Ba Sn Zn,0
Be Ge Sr,0
Ag Ba Ga,0
Ag Ca Sb,0
Ag Ce Ge,0
Ag Cu Sm,1
Ag In Tb,1
Ag Sb Sr,0
Bi Ca Cu,0
Al Sm U,1
Al Sn V,0
Al Ta,1
Al Ta Ti,0
Al Ta Zn,1
Al Tb Zr,1
Al Tc,0
Al Tm,1
Fe Sb Sc,0
Fe Sb Y,0
Fe Lu Sb,0
Dy Fe Sb,0
Fe Ho Sb,0
Fe Sb Tm,0
Bi Fe Ho,0
Cu Ho Sb,0
Ca Fe Ge Mn,0
Ga Ge Mn Yb,1
Mn Sn Tm,1
Ga Mn Sn Tm,1
Mn Sn Ti Y,1
Gd Ge Ti,0
Gd Ge Mn Ti,0
Mn Ti V,1
Mn Ti V Zr,1
Ni V Zr,1
Ni Ti Zr,1
Co Eu Fe Sb,0
Cs Ga Sb,0
Ga Rb Sb,0
W Zr,1
Ga In Sr,0
Ge Hf Nb,0
Ge Hf Pt,0
Cu Ga W,0
Cu Ga V,0
Cd Co Tb,0
Al Ba Ga,0
Al Ba In,1
Ba Ga In,0
Al Ca In,1
Ca Ga In,0
Al In Sr,0
Ge In La Li,0
Ce Ni Ru Sn,0
Au La Sn,0
Fe Sm Sn,0
Fe Sm Tb,1
Fe Sm Ti,0
Fe Sm Ti V,0
Fe Sm V,0
Fe Sm W,0
Fe Sm Y,1
Fe Sm Zr,1
Fe Sn Tb,1
Fe Sn Tm,1
Fe Sn V,1
Fe Sn Zr,0
Fe Ta,1
Fe Ta Ti,1
Fe Ta W,1
Fe Ta Zr,1
Fe Tb V,0
Fe Tb W,0
Fe Tc,0
Fe Th Y,1
Fe Ti V,1
Fe Ti Zr,1
Fe Tm,1
Fe Tm V,0
Fe V,0
Ge Pd,0
Ga Ru,0
Hg Mn,0
Ge Re,0
Ag Mg Sb,0
Cd La,1
Cr Ga Ni,1
Cr In Ni,0
La Sn,1
Sn Y,1
Pb Y,1
Tl Y,1
Fe Ge Ru Ti,0
Fe Ru Sn Ti,0
Al Fe Ru V,0
Fe Ga Ru V,0
Fe In Ru V,0
Fe Ge Ru V,0
Fe Ru Sn V,0
Al Cr Fe Ru,0
Cr Fe Ga Ru,0
Cr Fe Ge Ru,0
Cr Fe Ru Sn,0
Al Fe Mn Ru,0
Fe Ga Mn Ru,0
Cd Gd,1
Bi Ti V,0
Cr Ni Sn,0
Co Fe Ge Zr,0
Co Fe Sb Zr,0
Al U Y,1
Al U Zr,1
Al W,1
Al W Zr,1
Al Y Yb,1
Al Yb,1
Al Zn Zr,1
Ag Er,0
Am Bi,0
Am Ir,1
Am Pd,1
Am Pt,1
Am Rh,1
Ag Er In,0
Ag Er Pb,1
Ag Eu,1
Ag Ga Li,0
Ag Ga Mg,0
Ag Ga Pr,0
Ag Ga Y,0
Ag Gd In,0
Ag Gd Pb,0
Ag Gd Sn,1
Ag Gd Tl,0
Ag Gd Zn,0
Ag Ge,0
Ag Hg Ti,0
Ag Ho,0
Ag Ho In,0
Ag In La,0
Ag In Mn Pd,0
Ag In Nd,0
Ag In Pr,0
Ag In Sc,0
Ag In Sm,0
Ag In Tm,0
Ag In Y,0
Ag La Pb,0
Ag La Sn,0
Ag Li,0
Ag Li Mg,0
Ag Li Pb,0
Ag Li Tl,0
Ag Lu,0
Ag Mg Pd,0
Ag Mg Pr,0
Ag Mg Sm,0
Ag Na,1
Ag Nd,0
Ag Nd Pb,0
Ag Pb Yb,0
Ag Pd,0
Ag Pd Sr,1
Ag Pd Tb,0
Ag Pr,0
Ag Pt,1
Ag Sc,0
Ag Sm,0
Ag Sm Sn,0
Ag Sn Yb,0
Ag Sr,1
Ag Tb,0
Ag Tb Zn,0
Ag Ti,1
Ag Tm,1
Ag Y,0
Au Tm,0
Au Yb,0
Ag Zr,1
Au Ba,1
Au Bi Li,0
Au Cd In Sn,0
Au Cd Mg,0
Au Cd Sn,0
Au Cd Zn,0
Au Ce In Y,0
Au Cr,0
Au Cr Nb,1
Au Cu Ga,0
Au Cu Ni,0
Au Cu Pd,0
Au Cu Pt,0
Au Dy,0
Au Dy Pb,0
Au Er,0
Au Er In,0
Au Er Pb,0
Au Eu,1
Au Fe,1
Au Fe Nb,0
Au Fe Pd,1
Au Ga Li,0
Au Ga Pd,0
Au Gd,0
Au Gd In,0
Au Gd Pb,0
Au Gd Sn,0
Au Hf,0
Au Hf In,0
Au Hg Mg,0
Au Hg Mn,0
Au Ho,0
Au Ho Pb,0
Au In La,0
Au In Li,0
Au In Lu,0
Au In Nd,0
Au In Pd Y,0
Au In Pr,0
Au In Sc,0
Au In Sm,0
Ba Bi Mn,0
Cd Ni Pr,1
Co Gd Mg,0
Mg Rh Sm,0
Gd Pt Sn,0
Pt Sn Tb,0
Er Pd Zn,0
Fe V Zr,1
Fe W,1
Fe W Y,0
Ga Gd,0
Ga Gd Mn,1
Ga Gd Ni,1
Ga Gd Pd,0
Ga Gd Pt,0
Ga Gd Ru,0
Ga Gd Zn,0
Ga Ge Ir,0
Ga Ge K,0
Ga Ge Mn,1
Ga Ge Mo,0
Ga Ge Na,0
Ga Ge Rh,0
Ga Ge Ti,0
Ga Ge Zr,0
Ga Hf,1
Ga Hf Nb,0
Ga Hf Pd,1
Ga Hf Pt,0
Ga Hf Ru,0
Ga Hf Ti,0
Hg La,1
Cd Sc,1
Hg Sc,1
Cd Yb,1
Hg Yb,1
K Na Sb,0
Al Nb Ti,1
Au In Th,0
Au In Ti,0
Au In Tm,0
Au In U,0
Au In Y,0
Au In Zr,0
Au Ir Nb,0
Au K,1
Au K Sn,0
Au Li Mg,0
Au Na,1
Au Li Pb,0
Au Li Sb,0
Au Li Sn,0
Au Li Tl,0
Au Lu,0
Au Lu Sn,0
Au Mg,0
Au Nb Os,0
Au Nb Pt,0
Au Pb Tb,0
Au Pd Zn,0
Au Pt Ti,0
Au Rb Sn,0
Au Sc,0
Au Sc Sn,0
Au Sn,0
Au Sn Tm,0
Au Sn U,0
Au Sr,1
Au Ta,0
Au Tb,0
Au Ti,1
Au U,0
Au V,1
Au Y,0
Au Zr,0
Ba Be,0
Ba Bi Cd,0
Ba Bi Pb,1
Ba Bi Zn,0
Ba Ca,0
Ba Ca Sn,0
Ba Cu Sn,0
Ba In,0
Ba Li,0
Ba Ni Sn,0
Ba Pb,1
Ba Pb Rh,0
Ba Pb Tl,1
Ba Pd,1
Ba Pd Sn,0
Ba Pt,1
Ba Pt Sn,0
Ba Sr,0
Ba Tl,0
Ba Zn,0
Ca In,0
Ca Pd Sn,0
Be Ca,0
Be Co Mn,1
Be Cr Ni,0
Be Cu,1
Be Cu Mg,1
Be Cu Ta,0
Be Cu Ti,1
Be Cu Zn,1
Be Dy,0
Be Ga Ti,1
Be Mg,0
Be Mn,1
Be Mo,1
Be Mo Nb,1
Be Nb Ti,1
Be Ni,0
Be Np,0
Be Pd,1
Be Pu,0
Be Ru,1
Be Sc,1
Be Sr,0
Be Ta,1
Be Th,0
Be Ti Zr,0
Be W,1
Be Zr,1
Bi Ca Cd,0
Bi Cd Sr,0
Bi Ce,0
Bi Ce Sb,0
Bi Cu Eu,0
Bi Cu Gd,0
Bi Cu Mg,0
Bi Cu Mn,0
Bi Cu Sr,0
Bi Dy,0
Bi Dy Ni,0
Bi Dy Pt,0
Bi Er,0
Bi Er Pt,0
Bi Gd Ni,0
Bi Gd Pt,0
Bi Ho Pt,0
Bi Li Mg,0
Bi Li Mg Pb,0
Hf Rh Sn,0
Cr Cu Ni Sn,0
Cu Fe Sn,0
Co Cu Sn,0
Bi Cd Yb,0
Bi Cd Eu,0
Bi Yb Zn,0
Bi Ca Zn,0
Cd Sb Yb,0
Bi Yb,0
Al Ga Mn,0
Cr Zn Zr,0
Gd In Rh,0
Dy In Rh,0
In Ir Tb,0
Ba Ca Li,0
In Pd Sr,0
Ni Sn Zn,0
Eu Mg Sn,0
Ho Mn Sb Yb,0
Dy Mn Sb Yb,0
Mn Sb Tb Yb,0
Al Co Ge Pr,0
Ga Hf Zn,1
Ga Hf Zr,0
Ga Ho,1
Ga Nd,1
Ga Ho Ir,0
Ga Ho Pt,0
Ga Ho Rh,0
Ga Ho Ti,0
Ga Ir Li,0
Ga Ir Lu,0
Ga Ir Sc,0
Ga Ir Sn,0
Ga Ir Tb,0
Ga Ir Th,0
Ga Ir Tm,0
Ga Ir Y,0
Ga Ir Yb,0
Ga Ir Zr,0
Ga K Sn,0
Ga La Mo,0
Ga La Pt,1
Ga La Zn,0
Ga Li Pd,0
Ga Lu,1
Ga Lu Mn,0
Ga Lu Pd,0
Ga Lu Pt,0
Ga Lu Rh,0
Ga Lu Ti,0
Al Rh Zr,1
Al Ni Ti Zr,0
Al Pd Ti Zr,0
Al Ru Ti Zr,0
Ga Rh Ti Zr,0
Cr Fe Ge,0
Cr Fe Sn,0
Ga Mn Sb,0
Ho Mn,1
Bi Lu Ni,0
Bi Mg,0
Bi Mn Ni,0
Bi Mn Pd,0
Bi Mn Zn,0
Bi Nb,0
Bi Nd,0
Bi Ni Rh,0
Bi Ni Tm,0
Bi Pb,0
Bi Pb Pd,1
Bi Pb Pt,0
Bi Pd Pt,0
Bi Pd Y,0
Bi Pd Yb,0
Bi Pr,0
Bi Sc,0
Bi Th,0
Bi Tm,0
Bk Ir,1
Bk Pt,1
Bk Rh,1
Ca Cd,1
Ca Cd Pb,0
Ca Cd Sn,1
Ca Cd Tl,0
Ca Cu,1
Ca Eu Ni,1
Ca Hg,1
Ca In Tl,0
Ca Pb,1
Ca Pb Tl,1
Ca Pt,1
Ca Rh Sn,0
Ca Sr,0
Ca Tl,1
Ca Zn,1
Cd Ce In,0
Cd Cu Zr,0
Cd Dy In,0
Cd Er In,0
Cd Gd In,0
Cd Hg,0
Cd Hg Ti,0
Cd Ho,0
Cd Ho In,0
Cd In,1
Cd In La,0
Cd In Li,0
Cd In Mg,1
Cd In Nd,0
Cd In Pr,0
Cd In Sm,0
Cd Li,0
Cd Li Mg,0
Cd Li Pb,0
Cd Li Tl,0
Cd Li Zn,0
Cd Lu,0
Cd Mg,1
Cd Mn,0
Cd Nb,1
Cd Nd,0
Cd Ni,0
Cd Pb,0
Cd Pr,0
Cd Pt,0
Cd Tb,1
Cd Ti,0
Cd Tm,0
Cd U,0
Cd V,0
Cd Zn,0
Cd Zr,1
Cd Sn,0
Ce Co Cr,1
Ce Co Cu,1
Ce Co Fe,1
Ce Co Hf,1
Ce Co La,1
Ce Co La Ni,1
Ce Co Mn,1
Ce Co Ni,1
Ce Co Pu,1
Ce Co Rh,1
Ce Co Zr,1
Cr Fe Ni Sn,1
Hg Sr,1
Cu Ga Mg Sc,0
Bi Ce Mn,0
Bi Mn Pr,0
Bi Mn Nd,0
Bi Mn Sm,0
Bi La Mn,0
Hf Mg Zn,0
Ge Na Sn,0
Ca Ni Sn Sr,0
Ca Ni Sn,0
Ba In Pt,0
Ir Mg Tb,0
Ba Bi Sn,1
Cd Gd Rh,0
Ga Sb Sr,0
Au Tb Zn,0
Ca La Mn Sb,0
Ga Mn Nb,1
Ga Mn Tb,1
Ga Mo Pr,0
Ga Mo Sc,0
Ga Mo Y,0
Ga Nb Ni,1
Ga Nb Sn,0
Ga Nb V,0
Ga Nb Zr,0
Ga Nd Ni,1
Ga Nd Pd,0
Ga Nd Pt,1
Ga Ni Pd,0
Ga Ni Pt,1
Ga Ni Pu,0
Ga Ni Sn,1
Ga Ni Ta,1
Ga Ni Tb,1
Fe Ge Mg,1
Ge Sb Ti,0
Ce Mg Pb,0
Bi Ga,0
Ni Zn,0
Os Ti,1
Bi Cr Li,0
Cr Li Sb,0
Ce Cr Ni,1
Ce Cu Fe,1
Ce Cu Ga,1
Ce Cu Pt,1
Ce Er,0
Ce Eu,0
Ce Fe,1
Ce Fe Ga,1
Ce Fe Gd,1
Ce Fe Gd Ho,1
Ce Fe Mn,1
Ce Fe Ni,1
Ce Fe Ni Sm,1
Ce Fe Pr,1
Ce Fe Pu,1
Ce Fe Rh,1
Ce Fe Ru,1
Ce Fe Sm,1
Ce Fe U,1
Ce Fe Y,1
Ce Gd Mn,1
Ce Hg,1
Ce In La,1
Ce In Sn,1
Ce In Y,1
Ce Ir,1
Ce Ir Os,1
Ce Ir Pt,1
Ce La,0
Ce La Mg,0
Ce La Ni,1
Ce La Os,1
Ce La Pd,1
Ce La Rh,1
Ce La Ru,1
Ce La Sn,1
Ce La Th,0
Ce La Zn,0
Ce Li Sn,0
Ce Lu,0
Ce Mg Y,1
Ce Nd,0
Ce Ni Pt,1
Ce Os,1
Ce Os Ru,1
Ce Pb,1
Ce Pd,1
Ce Pd Pt,1
Ce Pd Rh,1
Ce Pd Tl,0
Ce Pd Y,1
Ce Pt Rh,1
Ce Pt Sb,1
Ce Pu,0
Ce Rh,1
Ce Rh Ru,1
Ce Rh Y,1
Ce Sm,0
Ce Sn,1
Ce Tb,0
Ce Th,0
Ce Th Y,0
Ce Th Zr,0
Ce Tl,1
Ce Tm,0
Ce Y,0
Ce Y Zn,0
Ce Zr,0
Cf Pt,1
Cm Pd,1
Co Cr Ga Mn,0
Co Cr Mo,0
Co Cr Pt,0
Co Cr U,1
Co Cr W,0
Co Cr Zr,1
Co Cu Er,1
Co Cu Gd,1
Co Cu Ho,1
Co Cu Mn Sm,1
Co Cu Nb Sm,1
Co Cu Nd,1
Co Cu Pr,1
Co Cu Pr Y,1
Co Cu Sm,1
Co Cu Y,1
Co Dy,1
Co Dy Fe,1
Co Dy Ho Tb,1
Co Dy Ni,1
Co Dy Re,1
Rh Sm Sn,0
Rh Sn Th,0
Rh Sn Sr,0
Co Er Fe,1
Co Er Ni,1
Co Er Ni Sm,1
Co Er Ru,1
Cu Pt Tb,0
Al Gd Mg,1
Mn Zn Zr,0
Fe Zn Zr,0
Co Zn Zr,0
Ni Zn Zr,1
Cd Rh,1
Ge Hg Rb,0
Hg Rb Sn,0
La Mg Ru,0
Cu La Mg,1
In Ir Sc,0
Ce Pt Zn,0
In Ir Y,0
Ag Lu Sn,1
Al Yb Zn,1
Yb Zn,1
In La Mg Rh,0
Ir Mg Nd,0
Gd Ir Mg,0
Ir La Mg,0
Co Ge Mg,1
Bi Ce Pd,0
Ni Pr Sn,1
Al Pt Sc,0
Co Gd Ni,1
Al Au Eu,0
Ga Ni Th,0
Ga Ni Tm,1
Ga Ni V,1
Ga Ni Y,1
Ga Os,0
Ga Os Sc,0
Ga Os Ti,0
Ga Os Zr,0
Ga Pd,1
Ga Pd Pr,0
Ga Pd Sb,0
Ga Pd Sm,0
Ga Pd Tm,0
Ga Pd U,1
Ga Pd Y,0
Ga Pd Yb,0
Ga Pd Zr,0
Ga Pr,1
Ga Pr Pt,0
Ga Pr Zn,0
Ga Pt,1
Ga Pt Sm,0
Ga Pt Tb,0
Ga Pt Th,0
Ga Pt Ti,1
Ga Pt Tm,0
Ga Pt Y,0
Ga Pt Yb,0
Ga Pt Zr,1
Ga Pu,1
Ga Pu Rh,0
Ga Rh,0
Ga Rh Sc,0
Ga Rh Tb,1
Ga Rh Th,0
Ga Rh Ti,0
Ga Rh Tm,0
Ga Rh Y,1
Ga Rh Yb,0
Ga Ru Sc,0
Ga Ru Tb,0
Ga Ru Ti,0
Ga Ru Y,0
Ga Ru Zr,0
Al Ba Fe,0
Al Ca Sm,1
Al Pd Sc,0
Mn Pd Sb,0
Cs In Sb,0
Co Fe Ga,0
Co Fe Gd,1
Co Fe Ho,1
Co Fe Ho Y,1
Co Fe In,0
Co Fe La Y,1
Co Fe Mn U,1
Co Fe Nd,1
Co Fe Pr,1
Co Fe Sn,1
Co Fe Tb,1
Co Fe Th,1
Co Fe U,1
Co Fe V,1
Co Fe Y,1
Co Fe Zr,1
Co Ga,0
Co Ga Gd,1
Co Ga La,1
Co Ga Nb,1
Co Ga U,0
Co Ga V,0
Co Ga Zr,1
Co Gd Mn,1
Co Gd Ni Sm,1
Co Hf Pr,1
Co Ho Ni,1
Co Ho Ru,1
Co Ho Sn,1
Co Ho Tb,1
Co Ho Y,1
Co In Lu,0
Co In Sn,0
Co Ir,0
Co La Ni,1
Co Lu,1
Co Mg Ni,1
Co Mn Pd Sn,0
Co Mn Pt,0
Co Mn Rh Sn,0
Co Mn U,1
La Sn Zn,0
Ce Sn Zn,0
Pr Sn Zn,0
Sm Sn Zn,0
Mn Ti Zr,1
Sb Tb Zr,0
Dy Sb Zr,0
Ho Sb Zr,0
Er Sb Zr,0
Bi Fe Tb,0
Ce Pb Rh,0
Cu Sb Tm,0
Ga U,1
Al Y Zn,0
Al Nd Zn,0
Al Sm Zn,0
Al Gd Zn,0
Al Tb Zn,0
Al Dy Zn,0
Al Ho Zn,0
In Mn Y,0
Dy In Mn,0
Er In Mn,1
In La Mn,0
Ce In Mn,0
In Mn Pr,0
In Mn Nd,0
In Mn Sm,0
Eu In Mn,0
In Mn Tb,0
Ho In Mn,1
In Mn Tm,1
In Lu Mn,0
Al Ca Mg,1
Ge Mn Nd Sn,1
Fe Ga Nd Y,0
Cu Fe Sb V,0
Fe Mo Nd Ti Y,0
Fe Mo Nd Y,0
Fe Ho Y,0
Ge Nd Sc,0
Ce Co Ge Ru,0
Co Ge Tb U,0
Mo Ru Sb,0
Li Mg Pb,0
Al Mg Sc,0
Cu Li Mg,0
Hf Mn Sb,0
Sb Ti Zr,0
Er Ge Nd,0
Eu Pd Zn,0
Eu Pt Zn,0
Ge La Sb,0
Ga Gd Ge,0
Al La Mn,0
Al Fe La Sb,0
Al Au Fe La,0
Al Fe Ge La,0
Al Fe La Pb,0
Al Cu Fe La,0
Al La Mn Sb,0
Al Fe Nd Sb,0
Ag Al Fe La,0
Al Bi Fe La,0
Cd La Rh,0
Ge Li Na,0
Gd Ir,1
Gd Ir Sn,0
Gd La,0
Gd La Ni,1
Gd La Os,1
Gd Li Sn,0
Gd Lu,0
Gd Lu Ni,0
Gd Mn Ni,1
Gd Mn Pr,1
Gd Mn Sn,0
Gd Nd,0
Gd Ni Pt,0
Gd Ni Tb,0
Gd Ni Tm,0
Gd Ni Y,0
Gd Os,1
Gd Pb,1
Gd Pd,1
Gd Pd Sb,0
Gd Pr,0
Pb Sr,1
Al Fe Nb,1
Al Fe Pd,0
Al Fe Ru,0
Al Fe Tc,0
Ag Al Mn,0
Ir Sm,0
Al Ca Rh,0
Ge Mn Nd Ti,0
Co Gd Tb,0
Ge Ni Pd,0
Li Mg Sb,0
Fe Ga Ge,1
Ag Ba Sb,0
Eu Pt Sn,0
Cd In Yb,0
Au Li Na,1
In K Zn,0
Fe Tb Zn,0
Ru Y Zn,0
Dy Ru Zn,0
Co Gd Zn,0
Dy Rh Zn,0
Ni Tm Zn,0
Al Ce Re,0
Al Re Sm,0
Al Re Tb,0
Rh Sn Zr,0
Cd Ce Rh,0
Pt Sc Sn,0
Li Pd Sn,0
Ga Gd Ge Mn,1
In K Pb,1
Cu In Th,0
Ce Co Ge,0
Ag Ce Ga,0
Ga Ge Yb,0
La Ni Pb,0
Ce Ni Pb,0
Ni Pb Pr,0
Ni Pb Tb,0
Dy Ni Pb,0
Er Ni Pb,0
Ni Pb Tm,0
Lu Ni Pb,0
Gd Sn Zn,0
Sn Y Zn,0
Mg Zn Zr,0
Mg Ti Zn,0
Ce Co Ga Ge,0
Ba Ca Cd Sb,0
Ba Cd Sb Sr,0
Ba Cd Eu Sb,0
Ba Cd Sb Yb,0
Al Mg Tb,1
Al Dy Mg,1
Al Ho Mg,1
Al Er Mg,1
Al Mg Tm,1
Al Mg Yb,1
Gd Ni Pd,0
In Sr Zn,0
Co Sb Sm,0
Au Ba Pt,0
Ge Hf Zr,0
Ag Ca Sr,0
Ag Ba Sr,0
Gd Ge Ru,0
Ba Ca Pb,0
Ba Pb Sr,1
Sb Tb Zn,0
Ca Ce Mn Sb,0
Ca Mn Pr Sb,0
Ca Mn Nd Sb,0
Ca Mn Sb Sm,0
Ca Gd Mn Sb,0
Ca Mn Sb Tb,0
Ca Dy Mn Sb,0
Al Pd Sr,0
In Na Pd,0
Ga Sb Ti,0
Ga Sb Zr,0
Ga Sc Ti,0
Ga Sc Zr,0
Ga Sm Zn,0
