,sorted_cifs_ids_non_empty,sorted_cifs_ids_short_non_empty,gph_grouped_non_empty,sorted_cifs_non_empty
6167,194667,194667,['ErCo2-194667-Cagome_big.gph'],intermetallics_search_194667.cif
6168,194668,194668,['Er0.95Co2-194668-Cagome_big.gph'],intermetallics_search_194668.cif
6169,194669,194669,['Nd(Ni0.5Ge1.5)-194669-Cagome_big.gph'],intermetallics_search_194669.cif
6170,194670,194670,['Nd(Ni0.5Ge1.5)-194670-Cagome_big.gph'],intermetallics_search_194670.cif
6171,194671,194671,['Nd(Ni0.5Ge1.5)-194671-Cagome_big.gph'],intermetallics_search_194671.cif
6172,194672,194672,['Nd(Ni0.5Ge1.5)-194672-Cagome_big.gph'],intermetallics_search_194672.cif
6173,194673,194673,['Nd(Ni0.5Ge1.5)-194673-Cagome_big.gph'],intermetallics_search_194673.cif
6174,194674,194674,['Nd(Ni0.5Ge1.5)-194674-Cagome_big.gph'],intermetallics_search_194674.cif
6175,194675,194675,['Nd(Ni0.5Ge1.5)-194675-Cagome_big.gph'],intermetallics_search_194675.cif
6176,194676,194676,['Nd(Ni0.5Ge1.5)-194676-Cagome_big.gph'],intermetallics_search_194676.cif
6177,194677,194677,['Nd(Ni0.5Ge1.5)-194677-Cagome_big.gph'],intermetallics_search_194677.cif
6178,194678,194678,['Nd(Ni0.5Ge1.5)-194678-Cagome_big.gph'],intermetallics_search_194678.cif
6179,194889,194889,"['Ba1.04Au4.51Ga2.37-194889-Cagome_big.gph', 'Ba1.04Au4.51Ga2.37-194889-Cagome_big_1.gph', 'Ba1.04Au4.51Ga2.37-194889-Cagome_big_10.gph', 'Ba1.04Au4.51Ga2.37-194889-Cagome_big_2.gph', 'Ba1.04Au4.51Ga2.37-194889-Cagome_big_3.gph', 'Ba1.04Au4.51Ga2.37-194889-Cagome_big_4.gph', 'Ba1.04Au4.51Ga2.37-194889-Cagome_big_5.gph', 'Ba1.04Au4.51Ga2.37-194889-Cagome_big_6.gph', 'Ba1.04Au4.51Ga2.37-194889-Cagome_big_7.gph', 'Ba1.04Au4.51Ga2.37-194889-Cagome_big_8.gph', 'Ba1.04Au4.51Ga2.37-194889-Cagome_big_9.gph']",intermetallics_search_194889.cif
6180,194964,194964,['DyMn0.17Ga3-194964-Cagome_big.gph'],intermetallics_search_194964.cif
6181,194965,194965,['DyMn0.17Ga3-194965-Cagome_big.gph'],intermetallics_search_194965.cif
6182,194966,194966,['DyMn0.26Ga3-194966-Cagome_big.gph'],intermetallics_search_194966.cif
6183,194967,194967,['DyMn0.28Ga3-194967-Cagome_big.gph'],intermetallics_search_194967.cif
6184,194968,194968,"['DyMn0.32Ga3-194968-Cagome_big.gph', 'DyMn0.32Ga3-194968-Cagome_big_1.gph', 'DyMn0.32Ga3-194968-Cagome_big_2.gph', 'DyMn0.32Ga3-194968-Cagome_big_3.gph']",intermetallics_search_194968.cif
6185,194969,194969,['DyMn0.35Ga3-194969-Cagome_big.gph'],intermetallics_search_194969.cif
6186,194970,194970,"['DyMn0.44Ga3-194970-Cagome_big.gph', 'DyMn0.44Ga3-194970-Cagome_big_1.gph', 'DyMn0.44Ga3-194970-Cagome_big_2.gph', 'DyMn0.44Ga3-194970-Cagome_big_3.gph']",intermetallics_search_194970.cif
6187,194971,194971,"['DyMn0.46Ga3-194971-Cagome_big.gph', 'DyMn0.46Ga3-194971-Cagome_big_1.gph', 'DyMn0.46Ga3-194971-Cagome_big_2.gph', 'DyMn0.46Ga3-194971-Cagome_big_3.gph']",intermetallics_search_194971.cif
6188,194973,194973,"['NdMgNi4-194973-Cagome_big.gph', 'NdMgNi4-194973-Cagome_big_1.gph']",intermetallics_search_194973.cif
6189,194974,194974,"['Nd1.1Mg0.9(Ni3Co)-194974-Cagome_big.gph', 'Nd1.1Mg0.9(Ni3Co)-194974-Cagome_big_1.gph', 'Nd1.1Mg0.9(Ni3Co)-194974-Cagome_big_2.gph', 'Nd1.1Mg0.9(Ni3Co)-194974-Cagome_big_3.gph']",intermetallics_search_194974.cif
6190,194975,194975,"['NdMg(Ni2Co2)-194975-Cagome_big.gph', 'NdMg(Ni2Co2)-194975-Cagome_big_1.gph', 'NdMg(Ni2Co2)-194975-Cagome_big_2.gph', 'NdMg(Ni2Co2)-194975-Cagome_big_3.gph']",intermetallics_search_194975.cif
6191,194976,194976,"['Nd1.1Mg0.9(NiCo3)-194976-Cagome_big.gph', 'Nd1.1Mg0.9(NiCo3)-194976-Cagome_big_1.gph', 'Nd1.1Mg0.9(NiCo3)-194976-Cagome_big_2.gph', 'Nd1.1Mg0.9(NiCo3)-194976-Cagome_big_3.gph']",intermetallics_search_194976.cif
6192,194977,194977,"['NdMgCu4-194977-Cagome_big.gph', 'NdMgCu4-194977-Cagome_big_1.gph']",intermetallics_search_194977.cif
6193,194986,194986,"['Fe1.52Be17.48-194986-Cagome_big.gph', 'Fe1.52Be17.48-194986-Cagome_big_1.gph', 'Fe1.52Be17.48-194986-Cagome_big_2.gph', 'Fe1.52Be17.48-194986-Cagome_big_3.gph']",intermetallics_search_194986.cif
6194,195087,195087,"['Ba5In4Sb6-195087-Cagome_big.gph', 'Ba5In4Sb6-195087-Cagome_big_1.gph', 'Ba5In4Sb6-195087-Cagome_big_2.gph', 'Ba5In4Sb6-195087-Cagome_big_3.gph', 'Ba5In4Sb6-195087-Cagome_big_4.gph', 'Ba5In4Sb6-195087-Cagome_big_5.gph', 'Ba5In4Sb6-195087-Cagome_big_6.gph', 'Ba5In4Sb6-195087-Cagome_big_7.gph', 'Ba5In4Sb6-195087-Cagome_big_8.gph', 'Ba5In4Sb6-195087-Cagome_big_9.gph']",intermetallics_search_195087.cif
6195,195101,195101,"['Ca3Mg2Ni13-195101-Cagome_big.gph', 'Ca3Mg2Ni13-195101-Cagome_big_1.gph', 'Ca3Mg2Ni13-195101-Cagome_big_2.gph']",intermetallics_search_195101.cif
6196,195349,195349,"['Pr2MgNi9-195349-Cagome_big.gph', 'Pr2MgNi9-195349-Cagome_big_1.gph']",intermetallics_search_195349.cif
6197,195350,195350,"['Nd2MgNi9-195350-Cagome_big.gph', 'Nd2MgNi9-195350-Cagome_big_1.gph']",intermetallics_search_195350.cif
6198,195351,195351,"['LaNdMgNi9-195351-Cagome_big.gph', 'LaNdMgNi9-195351-Cagome_big_1.gph']",intermetallics_search_195351.cif
6199,195401,195401,['HoIn3-195401-Cagome_big.gph'],intermetallics_search_195401.cif
6200,195403,195403,"['HoCo3-195403-Cagome_big.gph', 'HoCo3-195403-Cagome_big_1.gph']",intermetallics_search_195403.cif
6201,195404,195404,"['Er(Fe1.64Al0.36)-195404-Cagome_big.gph', 'Er(Fe1.64Al0.36)-195404-Cagome_big_1.gph']",intermetallics_search_195404.cif
6202,195405,195405,"['Er(Fe1.6Al0.4)-195405-Cagome_big.gph', 'Er(Fe1.6Al0.4)-195405-Cagome_big_1.gph']",intermetallics_search_195405.cif
6203,195406,195406,"['Er(Fe1.625Al0.375)-195406-Cagome_big.gph', 'Er(Fe1.625Al0.375)-195406-Cagome_big_1.gph']",intermetallics_search_195406.cif
6204,195407,195407,"['Er(Fe1.4Al0.6)-195407-Cagome_big.gph', 'Er(Fe1.4Al0.6)-195407-Cagome_big_1.gph']",intermetallics_search_195407.cif
6205,195408,195408,"['Er(Fe0.5Al1.5)-195408-Cagome_big.gph', 'Er(Fe0.5Al1.5)-195408-Cagome_big_1.gph']",intermetallics_search_195408.cif
6206,195536,195536,['UNiZn-195536-Cagome_big.gph'],intermetallics_search_195536.cif
6207,195540,195540,"['Yb0.934Ag2-195540-Cagome_big.gph', 'Yb0.934Ag2-195540-Cagome_big_1.gph']",intermetallics_search_195540.cif
6208,195760,195760,"['Ca5Pd6Ge6-195760-Cagome_big.gph', 'Ca5Pd6Ge6-195760-Cagome_big_1.gph']",intermetallics_search_195760.cif
6209,195775,195775,['Bi2Pt-195775-Cagome_big.gph'],intermetallics_search_195775.cif
6210,195808,195808,"['Li4(Al3.42Zn11.58)-195808-Cagome_big.gph', 'Li4(Al3.42Zn11.58)-195808-Cagome_big_1.gph', 'Li4(Al3.42Zn11.58)-195808-Cagome_big_2.gph', 'Li4(Al3.42Zn11.58)-195808-Cagome_big_3.gph', 'Li4(Al3.42Zn11.58)-195808-Cagome_big_4.gph', 'Li4(Al3.42Zn11.58)-195808-Cagome_big_5.gph', 'Li4(Al3.42Zn11.58)-195808-Cagome_big_6.gph', 'Li4(Al3.42Zn11.58)-195808-Cagome_big_7.gph', 'Li4(Al3.42Zn11.58)-195808-Cagome_big_8.gph']",intermetallics_search_195808.cif
6211,195969,195969,"['Tb2MgCo9-195969-Cagome_big.gph', 'Tb2MgCo9-195969-Cagome_big_1.gph']",intermetallics_search_195969.cif
6212,195970,195970,['(Tb0.77Mg0.23)Co2-195970-Cagome_big.gph'],intermetallics_search_195970.cif
6213,195971,195971,"['TbMgCo4-195971-Cagome_big.gph', 'TbMgCo4-195971-Cagome_big_1.gph']",intermetallics_search_195971.cif
6214,196235,196235,['GdIn3-196235-Cagome_big.gph'],intermetallics_search_196235.cif
6215,196236,196236,"['Gd(In2.89Mn0.11)-196236-Cagome_big.gph', 'Gd(In2.89Mn0.11)-196236-Cagome_big_1.gph']",intermetallics_search_196236.cif
6216,196237,196237,"['Gd(In2.8Mn0.2)-196237-Cagome_big.gph', 'Gd(In2.8Mn0.2)-196237-Cagome_big_1.gph']",intermetallics_search_196237.cif
6217,196238,196238,"['Gd(In2.69Mn0.31)-196238-Cagome_big.gph', 'Gd(In2.69Mn0.31)-196238-Cagome_big_1.gph']",intermetallics_search_196238.cif
6218,196260,196260,"['AgCu4Zr-196260-Cagome_big.gph', 'AgCu4Zr-196260-Cagome_big_1.gph']",intermetallics_search_196260.cif
6219,196261,196261,"['AgCu4Zr-196261-Cagome_big.gph', 'AgCu4Zr-196261-Cagome_big_1.gph']",intermetallics_search_196261.cif
6220,196262,196262,"['AgCu4Zr-196262-Cagome_big.gph', 'AgCu4Zr-196262-Cagome_big_1.gph', 'AgCu4Zr-196262-Cagome_big_10.gph', 'AgCu4Zr-196262-Cagome_big_11.gph', 'AgCu4Zr-196262-Cagome_big_2.gph', 'AgCu4Zr-196262-Cagome_big_3.gph', 'AgCu4Zr-196262-Cagome_big_4.gph', 'AgCu4Zr-196262-Cagome_big_5.gph', 'AgCu4Zr-196262-Cagome_big_6.gph', 'AgCu4Zr-196262-Cagome_big_7.gph', 'AgCu4Zr-196262-Cagome_big_8.gph', 'AgCu4Zr-196262-Cagome_big_9.gph']",intermetallics_search_196262.cif
6221,196263,196263,"['AgCu4Zr-196263-Cagome_big.gph', 'AgCu4Zr-196263-Cagome_big_1.gph', 'AgCu4Zr-196263-Cagome_big_10.gph', 'AgCu4Zr-196263-Cagome_big_11.gph', 'AgCu4Zr-196263-Cagome_big_12.gph', 'AgCu4Zr-196263-Cagome_big_13.gph', 'AgCu4Zr-196263-Cagome_big_14.gph', 'AgCu4Zr-196263-Cagome_big_15.gph', 'AgCu4Zr-196263-Cagome_big_16.gph', 'AgCu4Zr-196263-Cagome_big_17.gph', 'AgCu4Zr-196263-Cagome_big_2.gph', 'AgCu4Zr-196263-Cagome_big_3.gph', 'AgCu4Zr-196263-Cagome_big_4.gph', 'AgCu4Zr-196263-Cagome_big_5.gph', 'AgCu4Zr-196263-Cagome_big_6.gph', 'AgCu4Zr-196263-Cagome_big_7.gph', 'AgCu4Zr-196263-Cagome_big_8.gph', 'AgCu4Zr-196263-Cagome_big_9.gph']",intermetallics_search_196263.cif
6222,196399,196399,['CeCr0.1-196399-Cagome_big.gph'],intermetallics_search_196399.cif
6223,196400,196400,"['(Gd0.44Mg0.56)GdNi7-196400-Cagome_big.gph', '(Gd0.44Mg0.56)GdNi7-196400-Cagome_big_1.gph']",intermetallics_search_196400.cif
6224,196418,196418,['ErNi5-196418-Cagome_big.gph'],intermetallics_search_196418.cif
6225,196419,196419,['HoNi2-196419-Cagome_big.gph'],intermetallics_search_196419.cif
6226,196420,196420,['ErNi2-196420-Cagome_big.gph'],intermetallics_search_196420.cif
6227,196421,196421,['HoNi5-196421-Cagome_big.gph'],intermetallics_search_196421.cif
6228,196477,196477,"['HoMn5CrGe6-196477-Cagome_big.gph', 'HoMn5CrGe6-196477-Cagome_big_1.gph']",intermetallics_search_196477.cif
6229,196478,196478,"['HoMn5CrGe6-196478-Cagome_big.gph', 'HoMn5CrGe6-196478-Cagome_big_1.gph']",intermetallics_search_196478.cif
6230,196479,196479,"['HoMn5CrGe6-196479-Cagome_big.gph', 'HoMn5CrGe6-196479-Cagome_big_1.gph']",intermetallics_search_196479.cif
6231,196480,196480,"['HoMn5CrGe6-196480-Cagome_big.gph', 'HoMn5CrGe6-196480-Cagome_big_1.gph']",intermetallics_search_196480.cif
6232,196481,196481,"['HoMn5CrGe6-196481-Cagome_big.gph', 'HoMn5CrGe6-196481-Cagome_big_1.gph']",intermetallics_search_196481.cif
6233,196482,196482,"['Ho(Mn4.5Cr1.5)Ge6-196482-Cagome_big.gph', 'Ho(Mn4.5Cr1.5)Ge6-196482-Cagome_big_1.gph']",intermetallics_search_196482.cif
6234,196483,196483,"['Ho(Mn4.5Cr1.5)Ge6-196483-Cagome_big.gph', 'Ho(Mn4.5Cr1.5)Ge6-196483-Cagome_big_1.gph']",intermetallics_search_196483.cif
6235,196484,196484,"['Ho(Mn4.5Cr1.5)Ge6-196484-Cagome_big.gph', 'Ho(Mn4.5Cr1.5)Ge6-196484-Cagome_big_1.gph']",intermetallics_search_196484.cif
6236,196485,196485,"['Ho(Mn4.5Cr1.5)Ge6-196485-Cagome_big.gph', 'Ho(Mn4.5Cr1.5)Ge6-196485-Cagome_big_1.gph']",intermetallics_search_196485.cif
6237,196486,196486,"['Ho(Mn4.5Cr1.5)Ge6-196486-Cagome_big.gph', 'Ho(Mn4.5Cr1.5)Ge6-196486-Cagome_big_1.gph']",intermetallics_search_196486.cif
6238,196487,196487,"['Ho(Mn4.5Cr1.5)Ge6-196487-Cagome_big.gph', 'Ho(Mn4.5Cr1.5)Ge6-196487-Cagome_big_1.gph']",intermetallics_search_196487.cif
6239,196488,196488,"['Ho(Mn4Cr2)Ge6-196488-Cagome_big.gph', 'Ho(Mn4Cr2)Ge6-196488-Cagome_big_1.gph']",intermetallics_search_196488.cif
6240,196489,196489,"['Ho(Mn4Cr2)Ge6-196489-Cagome_big.gph', 'Ho(Mn4Cr2)Ge6-196489-Cagome_big_1.gph']",intermetallics_search_196489.cif
6241,196490,196490,"['Ho(Mn4Cr2)Ge6-196490-Cagome_big.gph', 'Ho(Mn4Cr2)Ge6-196490-Cagome_big_1.gph']",intermetallics_search_196490.cif
6242,196491,196491,"['Ho(Mn4Cr2)Ge6-196491-Cagome_big.gph', 'Ho(Mn4Cr2)Ge6-196491-Cagome_big_1.gph']",intermetallics_search_196491.cif
6243,196492,196492,"['Ho(Mn4Cr2)Ge6-196492-Cagome_big.gph', 'Ho(Mn4Cr2)Ge6-196492-Cagome_big_1.gph']",intermetallics_search_196492.cif
6244,196545,196545,"['Th(Fe3Ni2)-196545-Cagome_big.gph', 'Th(Fe3Ni2)-196545-Cagome_big_1.gph']",intermetallics_search_196545.cif
6245,196546,196546,"['Th(Fe4Ni)-196546-Cagome_big.gph', 'Th(Fe4Ni)-196546-Cagome_big_1.gph']",intermetallics_search_196546.cif
6246,196547,196547,"['Th(Fe4.5Ni0.5)-196547-Cagome_big.gph', 'Th(Fe4.5Ni0.5)-196547-Cagome_big_1.gph']",intermetallics_search_196547.cif
6247,196549,196549,"['Zr(V0.3Fe0.7)2-196549-Cagome_big.gph', 'Zr(V0.3Fe0.7)2-196549-Cagome_big_1.gph', 'Zr(V0.3Fe0.7)2-196549-Cagome_big_2.gph', 'Zr(V0.3Fe0.7)2-196549-Cagome_big_3.gph']",intermetallics_search_196549.cif
6248,196550,196550,"['Hf(V0.2Fe0.8)2-196550-Cagome_big.gph', 'Hf(V0.2Fe0.8)2-196550-Cagome_big_1.gph', 'Hf(V0.2Fe0.8)2-196550-Cagome_big_2.gph', 'Hf(V0.2Fe0.8)2-196550-Cagome_big_3.gph']",intermetallics_search_196550.cif
6249,196551,196551,"['Hf(V0.925Fe0.075)2-196551-Cagome_big.gph', 'Hf(V0.925Fe0.075)2-196551-Cagome_big_1.gph', 'Hf(V0.925Fe0.075)2-196551-Cagome_big_2.gph', 'Hf(V0.925Fe0.075)2-196551-Cagome_big_3.gph']",intermetallics_search_196551.cif
6250,196552,196552,"['Y(Fe0.8Al0.2)2-196552-Cagome_big.gph', 'Y(Fe0.8Al0.2)2-196552-Cagome_big_1.gph']",intermetallics_search_196552.cif
6251,196553,196553,"['Zr(Fe0.7Ni0.3)2-196553-Cagome_big.gph', 'Zr(Fe0.7Ni0.3)2-196553-Cagome_big_1.gph']",intermetallics_search_196553.cif
6252,196554,196554,"['Pr(Co3Cu2)-196554-Cagome_big.gph', 'Pr(Co3Cu2)-196554-Cagome_big_1.gph']",intermetallics_search_196554.cif
6253,196555,196555,"['Pr(Co2Cu3)-196555-Cagome_big.gph', 'Pr(Co2Cu3)-196555-Cagome_big_1.gph']",intermetallics_search_196555.cif
6254,196562,196562,['CeAl2-196562-Cagome_big.gph'],intermetallics_search_196562.cif
6255,196563,196563,['CeAl2-196563-Cagome_big.gph'],intermetallics_search_196563.cif
6256,196566,196566,['Ni3(Al0.8Ti0.2)-196566-Cagome_big.gph'],intermetallics_search_196566.cif
6257,196567,196567,['Ni3Al-196567-Cagome_big.gph'],intermetallics_search_196567.cif
6258,196568,196568,['Ni3Al-196568-Cagome_big.gph'],intermetallics_search_196568.cif
6259,196572,196572,['SmAl2-196572-Cagome_big.gph'],intermetallics_search_196572.cif
6260,196573,196573,['EuAl2-196573-Cagome_big.gph'],intermetallics_search_196573.cif
6261,196580,196580,"['TiAu-196580-Cagome_big.gph', 'TiAu-196580-Cagome_big_1.gph', 'TiAu-196580-Cagome_big_2.gph', 'TiAu-196580-Cagome_big_3.gph']",intermetallics_search_196580.cif
6262,196581,196581,"['NiNb-196581-Cagome_big.gph', 'NiNb-196581-Cagome_big_1.gph', 'NiNb-196581-Cagome_big_2.gph', 'NiNb-196581-Cagome_big_3.gph']",intermetallics_search_196581.cif
6263,196585,196585,"['Fe2(Ta0.8Zr0.2)-196585-Cagome_big.gph', 'Fe2(Ta0.8Zr0.2)-196585-Cagome_big_1.gph']",intermetallics_search_196585.cif
6264,196595,196595,"['(InSn4)0.2-196595-Cagome_big.gph', '(InSn4)0.2-196595-Cagome_big_1.gph']",intermetallics_search_196595.cif
6265,196601,196601,['LaNi5-196601-Cagome_big.gph'],intermetallics_search_196601.cif
6266,196604,196604,"['Y0.1Pd0.9-196604-Cagome_big.gph', 'Y0.1Pd0.9-196604-Cagome_big_1.gph']",intermetallics_search_196604.cif
6267,196608,196608,['Ag5Sr-196608-Cagome_big.gph'],intermetallics_search_196608.cif
6268,196620,196620,['DyHg3-196620-Cagome_big.gph'],intermetallics_search_196620.cif
6269,196630,196630,['Pt3Zn-196630-Cagome_big.gph'],intermetallics_search_196630.cif
6270,196677,196677,"['(Ga0.8Co0.1Ni0.1)(Co0.5Ni0.5)-196677-Cagome_big.gph', '(Ga0.8Co0.1Ni0.1)(Co0.5Ni0.5)-196677-Cagome_big_1.gph', '(Ga0.8Co0.1Ni0.1)(Co0.5Ni0.5)-196677-Cagome_big_2.gph', '(Ga0.8Co0.1Ni0.1)(Co0.5Ni0.5)-196677-Cagome_big_3.gph', '(Ga0.8Co0.1Ni0.1)(Co0.5Ni0.5)-196677-Cagome_big_4.gph', '(Ga0.8Co0.1Ni0.1)(Co0.5Ni0.5)-196677-Cagome_big_5.gph', '(Ga0.8Co0.1Ni0.1)(Co0.5Ni0.5)-196677-Cagome_big_6.gph', '(Ga0.8Co0.1Ni0.1)(Co0.5Ni0.5)-196677-Cagome_big_7.gph']",intermetallics_search_196677.cif
6271,196683,196683,['La3Sn-196683-Cagome_big.gph'],intermetallics_search_196683.cif
6272,196692,196692,['Tb3Al-196692-Cagome_big.gph'],intermetallics_search_196692.cif
6273,196702,196702,"['ScHg3-196702-Cagome_big.gph', 'ScHg3-196702-Cagome_big_1.gph']",intermetallics_search_196702.cif
6274,196703,196703,"['YHg3-196703-Cagome_big.gph', 'YHg3-196703-Cagome_big_1.gph']",intermetallics_search_196703.cif
6275,196731,196731,"['Cu0.98Cd0.02-196731-Cagome_big.gph', 'Cu0.98Cd0.02-196731-Cagome_big_1.gph']",intermetallics_search_196731.cif
6276,196745,196745,"['Ag3Mg-196745-Cagome_big.gph', 'Ag3Mg-196745-Cagome_big_1.gph']",intermetallics_search_196745.cif
6277,196748,196748,['ThSb-196748-Cagome_big.gph'],intermetallics_search_196748.cif
6278,196784,196784,['Ni2Y-196784-Cagome_big.gph'],intermetallics_search_196784.cif
6279,196785,196785,['DyFe2-196785-Cagome_big.gph'],intermetallics_search_196785.cif
6280,196787,196787,"['GdAl3-196787-Cagome_big.gph', 'GdAl3-196787-Cagome_big_1.gph']",intermetallics_search_196787.cif
6281,196788,196788,['Rh3Sc-196788-Cagome_big.gph'],intermetallics_search_196788.cif
6282,196808,196808,"['(Au2Cd)0.667-196808-Cagome_big.gph', '(Au2Cd)0.667-196808-Cagome_big_1.gph', '(Au2Cd)0.667-196808-Cagome_big_2.gph', '(Au2Cd)0.667-196808-Cagome_big_3.gph']",intermetallics_search_196808.cif
6283,196827,196827,"['(Ag0.869Ga0.131)-196827-Cagome_big.gph', '(Ag0.869Ga0.131)-196827-Cagome_big_1.gph']",intermetallics_search_196827.cif
6284,196828,196828,"['(Ag0.905Ga0.095)-196828-Cagome_big.gph', '(Ag0.905Ga0.095)-196828-Cagome_big_1.gph']",intermetallics_search_196828.cif
6285,196829,196829,"['(Ag0.965Ga0.035)-196829-Cagome_big.gph', '(Ag0.965Ga0.035)-196829-Cagome_big_1.gph']",intermetallics_search_196829.cif
6286,196831,196831,"['(AlFe)U-196831-Cagome_big.gph', '(AlFe)U-196831-Cagome_big_1.gph', '(AlFe)U-196831-Cagome_big_2.gph', '(AlFe)U-196831-Cagome_big_3.gph']",intermetallics_search_196831.cif
6287,196832,196832,"['(Al0.15Fe1.85)U-196832-Cagome_big.gph', '(Al0.15Fe1.85)U-196832-Cagome_big_1.gph']",intermetallics_search_196832.cif
6288,196833,196833,"['(Al1.85Fe0.15)U-196833-Cagome_big.gph', '(Al1.85Fe0.15)U-196833-Cagome_big_1.gph']",intermetallics_search_196833.cif
6289,196836,196836,"['(Nb0.75Rh0.25)Rh-196836-Cagome_big.gph', '(Nb0.75Rh0.25)Rh-196836-Cagome_big_1.gph', '(Nb0.75Rh0.25)Rh-196836-Cagome_big_10.gph', '(Nb0.75Rh0.25)Rh-196836-Cagome_big_11.gph', '(Nb0.75Rh0.25)Rh-196836-Cagome_big_12.gph', '(Nb0.75Rh0.25)Rh-196836-Cagome_big_13.gph', '(Nb0.75Rh0.25)Rh-196836-Cagome_big_14.gph', '(Nb0.75Rh0.25)Rh-196836-Cagome_big_15.gph', '(Nb0.75Rh0.25)Rh-196836-Cagome_big_16.gph', '(Nb0.75Rh0.25)Rh-196836-Cagome_big_17.gph', '(Nb0.75Rh0.25)Rh-196836-Cagome_big_18.gph', '(Nb0.75Rh0.25)Rh-196836-Cagome_big_19.gph', '(Nb0.75Rh0.25)Rh-196836-Cagome_big_2.gph', '(Nb0.75Rh0.25)Rh-196836-Cagome_big_20.gph', '(Nb0.75Rh0.25)Rh-196836-Cagome_big_21.gph', '(Nb0.75Rh0.25)Rh-196836-Cagome_big_22.gph', '(Nb0.75Rh0.25)Rh-196836-Cagome_big_23.gph', '(Nb0.75Rh0.25)Rh-196836-Cagome_big_24.gph', '(Nb0.75Rh0.25)Rh-196836-Cagome_big_25.gph', '(Nb0.75Rh0.25)Rh-196836-Cagome_big_26.gph', '(Nb0.75Rh0.25)Rh-196836-Cagome_big_27.gph', '(Nb0.75Rh0.25)Rh-196836-Cagome_big_28.gph', '(Nb0.75Rh0.25)Rh-196836-Cagome_big_29.gph', '(Nb0.75Rh0.25)Rh-196836-Cagome_big_3.gph', '(Nb0.75Rh0.25)Rh-196836-Cagome_big_30.gph', '(Nb0.75Rh0.25)Rh-196836-Cagome_big_31.gph', '(Nb0.75Rh0.25)Rh-196836-Cagome_big_32.gph', '(Nb0.75Rh0.25)Rh-196836-Cagome_big_33.gph', '(Nb0.75Rh0.25)Rh-196836-Cagome_big_34.gph', '(Nb0.75Rh0.25)Rh-196836-Cagome_big_35.gph', '(Nb0.75Rh0.25)Rh-196836-Cagome_big_4.gph', '(Nb0.75Rh0.25)Rh-196836-Cagome_big_5.gph', '(Nb0.75Rh0.25)Rh-196836-Cagome_big_6.gph', '(Nb0.75Rh0.25)Rh-196836-Cagome_big_7.gph', '(Nb0.75Rh0.25)Rh-196836-Cagome_big_8.gph', '(Nb0.75Rh0.25)Rh-196836-Cagome_big_9.gph']",intermetallics_search_196836.cif
6290,196842,196842,"['Pr2Co17-196842-Cagome_big.gph', 'Pr2Co17-196842-Cagome_big_1.gph']",intermetallics_search_196842.cif
6291,196843,196843,"['Gd2Co17-196843-Cagome_big.gph', 'Gd2Co17-196843-Cagome_big_1.gph']",intermetallics_search_196843.cif
6292,196844,196844,"['Ce2Co17-196844-Cagome_big.gph', 'Ce2Co17-196844-Cagome_big_1.gph']",intermetallics_search_196844.cif
6293,196845,196845,"['Dy2Co17-196845-Cagome_big.gph', 'Dy2Co17-196845-Cagome_big_1.gph']",intermetallics_search_196845.cif
6294,196846,196846,"['Dy2Co17-196846-Cagome_big.gph', 'Dy2Co17-196846-Cagome_big_1.gph']",intermetallics_search_196846.cif
6295,196849,196849,"['MoIr3-196849-Cagome_big.gph', 'MoIr3-196849-Cagome_big_1.gph']",intermetallics_search_196849.cif
6296,196850,196850,"['WRh3-196850-Cagome_big.gph', 'WRh3-196850-Cagome_big_1.gph']",intermetallics_search_196850.cif
6297,196852,196852,['CeCo5-196852-Cagome_big.gph'],intermetallics_search_196852.cif
6298,196853,196853,"['(Gd2Co17)0.333-196853-Cagome_big.gph', '(Gd2Co17)0.333-196853-Cagome_big_1.gph', '(Gd2Co17)0.333-196853-Cagome_big_2.gph']",intermetallics_search_196853.cif
6299,196854,196854,"['Sm2Co17-196854-Cagome_big.gph', 'Sm2Co17-196854-Cagome_big_1.gph']",intermetallics_search_196854.cif
6300,196868,196868,"['(RuTc3)0.5-196868-Cagome_big.gph', '(RuTc3)0.5-196868-Cagome_big_1.gph', '(RuTc3)0.5-196868-Cagome_big_2.gph', '(RuTc3)0.5-196868-Cagome_big_3.gph']",intermetallics_search_196868.cif
6301,196869,196869,"['(RhTc3)0.5-196869-Cagome_big.gph', '(RhTc3)0.5-196869-Cagome_big_1.gph', '(RhTc3)0.5-196869-Cagome_big_2.gph', '(RhTc3)0.5-196869-Cagome_big_3.gph']",intermetallics_search_196869.cif
6302,196870,196870,"['Sn0.37Tc0.63-196870-Cagome_big.gph', 'Sn0.37Tc0.63-196870-Cagome_big_1.gph', 'Sn0.37Tc0.63-196870-Cagome_big_2.gph', 'Sn0.37Tc0.63-196870-Cagome_big_3.gph']",intermetallics_search_196870.cif
6303,196871,196871,['Co5Ce-196871-Cagome_big.gph'],intermetallics_search_196871.cif
6304,196872,196872,['Co5Y-196872-Cagome_big.gph'],intermetallics_search_196872.cif
6305,196873,196873,['Co5Er-196873-Cagome_big.gph'],intermetallics_search_196873.cif
6306,196874,196874,['Co5Ce-196874-Cagome_big.gph'],intermetallics_search_196874.cif
6307,196875,196875,['Co5Y-196875-Cagome_big.gph'],intermetallics_search_196875.cif
6308,196876,196876,['Co5Gd-196876-Cagome_big.gph'],intermetallics_search_196876.cif
