,sorted_cifs_ids_non_empty,sorted_cifs_ids_short_non_empty,gph_grouped_non_empty,sorted_cifs_non_empty
2934,104663,104663,"['La2Mg17-104663-Cagome_big.gph', 'La2Mg17-104663-Cagome_big_1.gph']",intermetallics_search_104663.cif
2935,104664,104664,"['La0.8Mg0.2-104664-Cagome_big.gph', 'La0.8Mg0.2-104664-Cagome_big_1.gph']",intermetallics_search_104664.cif
2936,104665,104665,['(La0.33Mg0.67)Ni2-104665-Cagome_big.gph'],intermetallics_search_104665.cif
2937,104666,104666,"['La(Mn0.91Ni4.09)-104666-Cagome_big.gph', 'La(Mn0.91Ni4.09)-104666-Cagome_big_1.gph', 'La(Mn0.91Ni4.09)-104666-Cagome_big_2.gph', 'La(Mn0.91Ni4.09)-104666-Cagome_big_3.gph', 'La(Mn0.91Ni4.09)-104666-Cagome_big_4.gph', 'La(Mn0.91Ni4.09)-104666-Cagome_big_5.gph']",intermetallics_search_104666.cif
2938,104667,104667,"['La(Mn0.2Ni0.8)5-104667-Cagome_big.gph', 'La(Mn0.2Ni0.8)5-104667-Cagome_big_1.gph']",intermetallics_search_104667.cif
2939,104668,104668,"['La(Mn0.4Ni0.6)5-104668-Cagome_big.gph', 'La(Mn0.4Ni0.6)5-104668-Cagome_big_1.gph']",intermetallics_search_104668.cif
2940,104671,104671,['(La0.75Y0.25)Mn2-104671-Cagome_big.gph'],intermetallics_search_104671.cif
2941,104672,104672,['(La0.5Nd0.5)Ni5-104672-Cagome_big.gph'],intermetallics_search_104672.cif
2942,104673,104673,['LaNi2-104673-Cagome_big.gph'],intermetallics_search_104673.cif
2943,104674,104674,['LaNi2-104674-Cagome_big.gph'],intermetallics_search_104674.cif
2944,104675,104675,['LaNi5-104675-Cagome_big.gph'],intermetallics_search_104675.cif
2945,104676,104676,['LaNi5-104676-Cagome_big.gph'],intermetallics_search_104676.cif
2946,104677,104677,"['(La.00064Ni.99936)-104677-Cagome_big.gph', '(La.00064Ni.99936)-104677-Cagome_big_1.gph', '(La.00064Ni.99936)-104677-Cagome_big_2.gph']",intermetallics_search_104677.cif
2947,104678,104678,"['La2Ni7-104678-Cagome_big.gph', 'La2Ni7-104678-Cagome_big_1.gph', 'La2Ni7-104678-Cagome_big_2.gph', 'La2Ni7-104678-Cagome_big_3.gph']",intermetallics_search_104678.cif
2948,104679,104679,"['La2Ni7-104679-Cagome_big.gph', 'La2Ni7-104679-Cagome_big_1.gph', 'La2Ni7-104679-Cagome_big_2.gph', 'La2Ni7-104679-Cagome_big_3.gph']",intermetallics_search_104679.cif
2949,104683,104683,['(La0.5Pr0.5)Ni5-104683-Cagome_big.gph'],intermetallics_search_104683.cif
2950,104685,104685,"['La(Ni0.94Sn0.06)5-104685-Cagome_big.gph', 'La(Ni0.94Sn0.06)5-104685-Cagome_big_1.gph']",intermetallics_search_104685.cif
2951,104686,104686,['(La0.8Ti0.2)Ni5-104686-Cagome_big.gph'],intermetallics_search_104686.cif
2952,104687,104687,['(La0.5Y0.5)Ni5-104687-Cagome_big.gph'],intermetallics_search_104687.cif
2953,104688,104688,"['La(Ni4Zn)-104688-Cagome_big.gph', 'La(Ni4Zn)-104688-Cagome_big_1.gph']",intermetallics_search_104688.cif
2954,104689,104689,['LaOs2-104689-Cagome_big.gph'],intermetallics_search_104689.cif
2955,104690,104690,['LaOs2-104690-Cagome_big.gph'],intermetallics_search_104690.cif
2956,104691,104691,['LaPb3-104691-Cagome_big.gph'],intermetallics_search_104691.cif
2957,104692,104692,['LaPb3-104692-Cagome_big.gph'],intermetallics_search_104692.cif
2958,104693,104693,"['La(Pb1.5Sn1.5)-104693-Cagome_big.gph', 'La(Pb1.5Sn1.5)-104693-Cagome_big_1.gph']",intermetallics_search_104693.cif
2959,104694,104694,['(La0.5Th0.5)Pb3-104694-Cagome_big.gph'],intermetallics_search_104694.cif
2960,104695,104695,"['La(Pb1.5Tl1.5)-104695-Cagome_big.gph', 'La(Pb1.5Tl1.5)-104695-Cagome_big_1.gph']",intermetallics_search_104695.cif
2961,104696,104696,['LaPd3-104696-Cagome_big.gph'],intermetallics_search_104696.cif
2962,104697,104697,['LaPd3-104697-Cagome_big.gph'],intermetallics_search_104697.cif
2963,104698,104698,['LaPd5-104698-Cagome_big.gph'],intermetallics_search_104698.cif
2964,104699,104699,['LaPdTl-104699-Cagome_big.gph'],intermetallics_search_104699.cif
2965,104700,104700,['LaPt2-104700-Cagome_big.gph'],intermetallics_search_104700.cif
2966,104701,104701,['LaPt3-104701-Cagome_big.gph'],intermetallics_search_104701.cif
2967,104702,104702,['LaPt5-104702-Cagome_big.gph'],intermetallics_search_104702.cif
2968,104703,104703,['LaPt5-104703-Cagome_big.gph'],intermetallics_search_104703.cif
2969,104704,104704,"['(La0.85Pu0.15)-104704-Cagome_big.gph', '(La0.85Pu0.15)-104704-Cagome_big_1.gph']",intermetallics_search_104704.cif
2970,104705,104705,['LaRh2-104705-Cagome_big.gph'],intermetallics_search_104705.cif
2971,104706,104706,['LaRh2-104706-Cagome_big.gph'],intermetallics_search_104706.cif
2972,104707,104707,"['(La0.01Rh0.99)-104707-Cagome_big.gph', '(La0.01Rh0.99)-104707-Cagome_big_1.gph', '(La0.01Rh0.99)-104707-Cagome_big_2.gph']",intermetallics_search_104707.cif
2973,104712,104712,['LaRu2-104712-Cagome_big.gph'],intermetallics_search_104712.cif
2974,104713,104713,['LaRu2-104713-Cagome_big.gph'],intermetallics_search_104713.cif
2975,104714,104714,"['(Ru0.95La0.05)-104714-Cagome_big.gph', '(Ru0.95La0.05)-104714-Cagome_big_1.gph', '(Ru0.95La0.05)-104714-Cagome_big_2.gph']",intermetallics_search_104714.cif
2976,104716,104716,['(La0.2Th0.8)Ru2-104716-Cagome_big.gph'],intermetallics_search_104716.cif
2977,104717,104717,['(La0.4Th0.6)Ru2-104717-Cagome_big.gph'],intermetallics_search_104717.cif
2978,104720,104720,['LaSn3-104720-Cagome_big.gph'],intermetallics_search_104720.cif
2979,104721,104721,['LaSn3-104721-Cagome_big.gph'],intermetallics_search_104721.cif
2980,104722,104722,['La3Sn-104722-Cagome_big.gph'],intermetallics_search_104722.cif
2981,104724,104724,['(La0.5Th0.5)Sn3-104724-Cagome_big.gph'],intermetallics_search_104724.cif
2982,104725,104725,"['La(Sn1.5Tl1.5)-104725-Cagome_big.gph', 'La(Sn1.5Tl1.5)-104725-Cagome_big_1.gph']",intermetallics_search_104725.cif
2983,104728,104728,"['(LaTh)-104728-Cagome_big.gph', '(LaTh)-104728-Cagome_big_1.gph']",intermetallics_search_104728.cif
2984,104729,104729,"['(La0.8Th0.2)-104729-Cagome_big.gph', '(La0.8Th0.2)-104729-Cagome_big_1.gph', '(La0.8Th0.2)-104729-Cagome_big_10.gph', '(La0.8Th0.2)-104729-Cagome_big_11.gph', '(La0.8Th0.2)-104729-Cagome_big_2.gph', '(La0.8Th0.2)-104729-Cagome_big_3.gph', '(La0.8Th0.2)-104729-Cagome_big_4.gph', '(La0.8Th0.2)-104729-Cagome_big_5.gph', '(La0.8Th0.2)-104729-Cagome_big_6.gph', '(La0.8Th0.2)-104729-Cagome_big_7.gph', '(La0.8Th0.2)-104729-Cagome_big_8.gph', '(La0.8Th0.2)-104729-Cagome_big_9.gph']",intermetallics_search_104729.cif
2985,104732,104732,['La3Tl-104732-Cagome_big.gph'],intermetallics_search_104732.cif
2986,104733,104733,"['(LaY)-104733-Cagome_big.gph', '(LaY)-104733-Cagome_big_1.gph', '(LaY)-104733-Cagome_big_2.gph', '(LaY)-104733-Cagome_big_3.gph', '(LaY)-104733-Cagome_big_4.gph', '(LaY)-104733-Cagome_big_5.gph']",intermetallics_search_104733.cif
2987,104734,104734,"['(La0.307Y0.693)-104734-Cagome_big.gph', '(La0.307Y0.693)-104734-Cagome_big_1.gph', '(La0.307Y0.693)-104734-Cagome_big_2.gph', '(La0.307Y0.693)-104734-Cagome_big_3.gph']",intermetallics_search_104734.cif
2988,104736,104736,['LaZn5-104736-Cagome_big.gph'],intermetallics_search_104736.cif
2989,104739,104739,"['(LiMg)-104739-Cagome_big.gph', '(LiMg)-104739-Cagome_big_1.gph', '(LiMg)-104739-Cagome_big_2.gph', '(LiMg)-104739-Cagome_big_3.gph']",intermetallics_search_104739.cif
